city,country,region,latitude,longitude,population,rent_1br_city_center,rent_3br_city_center,avg_net_salary,meal_inexpensive_restaurant,utilities_monthly_85m2,price_per_m2_city_center,internet_monthly_60mbps,monthly_pass_transport,avg_temp_c,temp_std_c,temp_trend_c,internet_users_pct,broadband_per_100,mobile_per_100,gdp_per_capita_usd,gini_index,urban_pop_pct,pop_growth_rate,rd_spending_pct_gdp,scientific_articles,high_tech_exports_pct,tertiary_enrollment_pct,adult_literacy_pct,edu_spending_pct_gdp,cwur_top_uni_score,cwur_avg_score,cwur_uni_count,cwur_patents,cwur_citations,cwur_research,times_top_uni_score,times_avg_research,times_avg_citations,times_uni_count,shanghai_top_score,shanghai_uni_count,so_developer_count,so_employed_dev_count,so_median_salary_usd,so_senior_dev_pct
Madrid,Spain,Europe,40.408566,-3.69222,3102644.0,1056.14,1813.42,2089.54,12.64,166.08,5612.64,38.1,57.48,14.954295061461115,7.903852427223572,0.2732031513041022,92.31004328348767,34.505367916101484,119.75534260335866,30372.51455958717,34.13333333333333,79.792757351824,0.6255915751283105,1.361325,64100.240000000005,8.820202663868157,93.29863230387367,98.90999857584633,4.520580005645754,49.79,44.830975609756095,41.0,461.5853658536585,574.1951219512196,564.0487804878048,53.8,17.424,43.98,25.0,,13.0,184.0,140.0,68449.0,82.6086956521739
Barcelona,Spain,Europe,41.398371,2.1741,1570378.0,1083.72,1798.22,1978.23,14.75,170.85,5103.12,40.15,42.15,16.54991338241663,5.9226119398048755,0.2757444968318268,92.31004328348767,34.505367916101484,119.75534260335866,30372.51455958717,34.13333333333333,79.792757351824,0.6255915751283105,1.361325,64100.240000000005,8.820202663868157,93.29863230387367,98.90999857584633,4.520580005645754,49.79,44.830975609756095,41.0,461.5853658536585,574.1951219512196,564.0487804878048,53.8,17.424,43.98,25.0,,13.0,184.0,140.0,68449.0,82.6086956521739
Rome,Italy,Europe,41.9,12.483333,2643736.0,1070.3,2284.37,1579.61,16.33,197.83,7125.32,29.26,36.88,15.958175453790913,6.330619693033764,0.5710831807564496,76.61203711682764,30.34928344598302,132.37717338004117,35431.98570160407,34.63333333333333,69.50118940233882,-0.28520353600658627,1.42154,84317.97,8.455821888190918,70.00138727823891,99.3499984741211,4.195271968841552,49.97,45.25212765957447,47.0,672.1063829787234,460.82978723404256,478.468085106383,57.1,20.288235294117644,66.49705882352941,34.0,,18.0,213.0,146.0,46406.0,74.17840375586854
Milan,Italy,Europe,45.466667,9.2,1156903.0,1335.89,2766.72,1897.64,21.07,216.3,9364.19,29.7,41.1,12.626007749139653,8.072215702352148,1.02933127311778,76.61203711682764,30.34928344598302,132.37717338004117,35431.98570160407,34.63333333333333,69.50118940233882,-0.28520353600658627,1.42154,84317.97,8.455821888190918,70.00138727823891,99.3499984741211,4.195271968841552,49.97,45.25212765957447,47.0,672.1063829787234,460.82978723404256,478.468085106383,57.1,20.288235294117644,66.49705882352941,34.0,,18.0,213.0,146.0,46406.0,74.17840375586854
Vienna,Austria,Europe,48.2,16.366667,1569315.0,997.3,2042.51,2735.42,15.81,216.55,9318.15,34.15,34.77,10.816354016354015,8.352302913464063,1.1769619307919648,90.70644729054375,28.9915684216391,121.56813048060984,52060.233350858405,30.599999999999998,68.66025394099596,0.6213910717402672,3.191413333333333,14068.298,12.87651146709895,90.17235056559247,,5.3657940864563,47.03,44.987500000000004,12.0,550.3333333333334,522.0,575.3333333333334,54.2,22.842857142857145,61.771428571428565,7.0,,5.0,121.0,85.0,81210.0,82.64462809917356
Zurich,Switzerland,Europe,47.366667,8.55,346185.0,2072.52,3958.91,6782.99,26.71,250.12,19152.85,52.59,96.16,9.81559335909753,7.484597839825989,0.8443670205773888,94.7771038639196,46.7422097437077,126.3972705677895,90653.31974879345,33.68,82.78664840061242,0.8401727194231529,3.2067433333333333,23761.856,18.771671513648982,69.7971789042155,,5.022170066833494,66.93,50.39666666666667,9.0,400.22222222222223,205.0,278.6666666666667,88.3,41.45,75.65,10.0,30.1,6.0,163.0,131.0,136392.0,82.20858895705521
Stockholm,Sweden,Europe,59.333333,18.05,1253309.0,1375.6,2301.49,3021.18,12.59,102.95,11124.31,34.07,93.94,7.5602849681697295,8.053136923182967,0.32935632297451,93.94385534100564,40.09639502908675,129.8500868617305,54778.4555419769,29.816666666666666,88.05570480227097,0.7753272667835894,3.455686666666667,21913.322,15.436897730434582,79.81381988525389,,7.6472000122070325,52.79,47.54545454545455,11.0,849.7272727272727,237.0,276.8181818181818,77.5,41.21818181818182,76.54545454545455,11.0,31.9,8.0,174.0,134.0,69182.0,82.18390804597702
Oslo,Norway,Europe,59.916667,10.75,808690.0,1436.01,2334.05,3645.72,20.55,244.58,9925.38,50.07,83.64,5.4440850491560004,8.549748368649048,0.47508920814227107,97.68320044400393,44.037978757061516,109.15028600090767,86233.84680320752,27.7,82.72188321209487,0.749231411903246,1.9508400000000001,13396.841999999999,22.637441818626417,90.82398859659831,,7.2451121330261214,50.81,46.524,5.0,621.2,264.6,375.2,55.1,30.175,69.125,4.0,29.4,3.0,55.0,42.0,87957.0,78.18181818181819
Copenhagen,Denmark,Europe,55.666667,12.583333,1089958.0,1765.18,2669.65,3670.25,19.85,203.32,7808.48,37.29,73.71,8.557137186981308,6.674745742987944,0.9037942650652955,97.90272425620918,44.28200271769614,125.38304584559067,64479.98261212828,28.483333333333334,88.2928968863252,0.5179522481863583,2.918176666666667,15534.351999999999,14.112394081242833,82.5498644510905,,7.06082191467285,52.51,48.054,5.0,270.6,185.8,266.2,61.0,32.15,79.45,6.0,35.7,5.0,97.0,75.0,97744.5,81.44329896907216
Helsinki,Finland,Europe,60.17555600000001,24.934167,558457.0,1044.71,2115.81,2874.65,13.7,108.82,8746.09,22.85,68.49,5.928946861995141,9.107486167538108,0.5391584375853418,91.66305374192274,33.4477072308578,128.73513156497816,50535.850367907,27.516666666666666,73.20740806849061,0.22748323746505683,2.93521,11540.904,9.641059982484585,99.56490961710624,,6.483196067810058,50.04,45.44888888888889,9.0,619.6666666666666,538.5555555555555,456.1111111111111,61.9,26.099999999999998,58.099999999999994,9.0,28.2,5.0,79.0,64.0,85851.0,78.48101265822784
