country,internet_users_pct,broadband_per_100,mobile_per_100,gdp_per_capita_usd,gini_index,urban_pop_pct,pop_growth_rate,rd_spending_pct_gdp,scientific_articles,high_tech_exports_pct,tertiary_enrollment_pct,adult_literacy_pct,edu_spending_pct_gdp
"Egypt, Arab Rep.",65.73122855115658,8.860418546520194,88.70180220089732,3412.709593758845,30.2,42.56133410141183,1.6570517007774617,0.8941983333333333,18411.802,2.583119729257351,36.333524363123864,80.76677388332895,
Finland,91.66305374192274,33.4477072308578,128.73513156497816,50535.850367907,27.516666666666666,73.20740806849061,0.22748323746505683,2.93521,11540.904,9.641059982484585,99.56490961710624,,6.483196067810058
France,84.72574830925612,46.78754441984153,112.34357825162216,41735.033352761166,31.46666666666667,78.72475327489074,0.358321316175051,2.214236666666667,68089.612,23.44473871243,69.3419583638509,,5.43845796585083
Germany,90.08690003200543,43.40817790245208,126.93476845426066,50266.62877304249,32.78,81.54008621704754,0.1266035502337446,3.092715,114111.83200000001,16.383777161347535,74.31398646036786,,5.206821918487548
"Hong Kong SAR, China",93.22374653643116,38.56377356640825,296.1714400562405,48694.094969636724,,100.0,0.31906913331164155,0.988445,,69.22923501364905,92.61130276340494,,3.845718344052632
Hungary,85.07515651692574,34.30138556398845,104.97437038240867,18282.35542201602,,70.31269554868943,-0.2321938343450898,1.491445,7840.846,17.554914663052084,56.48385747273763,,4.277003955841065
India,43.07010707798974,1.8972670941254466,82.17520725133546,2171.98469264707,25.5,34.284479466329564,0.9344816609041886,0.6550033333333333,159732.144,11.354490277953184,30.976433688437698,76.36482280108875,4.256515657356134
Indonesia,56.51987313956895,4.186179521472103,125.54813959075584,4285.986785614478,35.68333333333333,56.59999896354927,0.8414112475078741,0.25943,31441.876,8.220393264447392,39.912383373358985,95.8300018310547,1.0243499150939306
Israel,88.30574922826516,29.191503963643868,140.758760648084,48402.18569940006,38.17999999999999,91.56369283992058,2.0419888870270317,5.731411666666666,14049.16,27.911349363655734,58.34222539265951,,6.151325988769532
Italy,76.61203711682764,30.34928344598302,132.37717338004117,35431.98570160407,34.63333333333333,69.50118940233882,-0.28520353600658627,1.42154,84317.97,8.455821888190918,70.00138727823891,99.3499984741211,4.195271968841552
Japan,87.42393675412161,35.41522466526806,158.32039247948,38032.03392314085,32.73333333333333,91.84493230625218,-0.32545246345372386,3.3031016666666666,104709.802,17.7211408337315,62.868778228759766,,3.2190224528312674
Kenya,25.88846201863618,1.389696741705004,114.47062534038257,1973.005427951095,37.800000000000004,31.356943293314885,1.9604957055250318,0.60539,1713.5939999999998,3.6246359909323753,9.587163424047045,,4.815112313657649
"Korea, Rep.",96.80689239900461,43.76414377199495,141.47689106039783,35141.93857903909,33.125,81.22285336748011,0.11341610559804582,4.590753333333333,73070.49,34.467929111647635,99.01432800292974,,4.625330066680908
Malaysia,91.13100001265758,10.5106706789321,134.98157594961333,10970.53852862417,40.95,75.39648276376099,1.3693601368122135,1.00097,23289.260000000002,54.6604923024482,39.38546363799649,95.19666544596355,3.970567025568014
Mexico,72.20395371810831,18.0862636984065,101.16194760872914,10812.737394274647,44.699999999999996,78.77777414344445,0.8349836139707887,0.2773466666666667,19863.612,20.190936245883982,44.89655049641925,95.443788104401,4.234304904937745
Morocco,83.67915177652742,5.759153058781976,136.28784993070352,3556.770996093752,,62.16814937553695,1.0328377736605299,,6499.647999999999,4.581965222667908,41.44448108052617,,5.637286088973366
Netherlands,93.01554728598647,42.91434313439584,121.86906147653333,57293.135869764315,27.25,94.28109036783395,0.7102424819507571,2.19435,33336.19,22.866037104242903,86.24331092834473,,5.2340740203857425
Nigeria,34.016266825,0.038538954211746364,92.53177671151364,2645.0481658932467,34.5,60.16661913274564,2.1540440982194133,0.28444,7884.76,3.793095719263505,,63.1599998474121,0.3646033330447227
Norway,97.68320044400393,44.037978757061516,109.15028600090767,86233.84680320752,27.7,82.72188321209487,0.749231411903246,1.9508400000000001,13396.841999999999,22.637441818626417,90.82398859659831,,7.2451121330261214
Peru,67.58737652320339,8.806522749131995,125.14820350783066,7035.533255810693,41.449999999999996,83.73515498851604,1.290076590578342,0.15529833333333334,3115.16,4.602811592553602,,94.4550018310547,3.9680883089701315
Philippines,60.14624171800465,6.487841900643627,136.09200781993601,3438.902825330053,40.766666666666666,54.2328939926117,1.0124450485591325,0.28591,3355.66,64.24203147528723,34.343404617386184,97.375,3.69943156698082
Poland,83.31555273531131,22.356892740757814,131.21460788845215,17892.608872899717,28.900000000000002,59.902819905200666,-0.5748562623924083,1.3811316666666666,37809.022,10.55243426815957,72.87964375813804,,4.584351921081544
Portugal,80.14417796160366,40.61645281467194,118.30866471889384,24358.41608160935,34.300000000000004,61.12806777752787,0.44366334529564205,1.567995,17586.735999999997,6.54862061747809,70.77053705851237,,4.69920597076416
Singapore,92.71382857273682,27.06751542997188,160.97723822522832,75001.85874938015,,100.0,0.883113824397828,1.920492,12363.446,54.431329535397,94.25333240924306,97.39999961853027,2.6131867170333867
South Africa,72.63469950333332,2.57044346575414,162.373819492014,6404.295014378154,54.1,63.456103647058534,1.5394566413875266,0.6261099999999999,15422.789999999999,5.3026000830427416,22.79577745078015,92.5099983215332,6.093485037485759
Spain,92.31004328348767,34.505367916101484,119.75534260335866,30372.51455958717,34.13333333333333,79.792757351824,0.6255915751283105,1.361325,64100.240000000005,8.820202663868157,93.29863230387367,98.90999857584633,4.520580005645754
Sweden,93.94385534100564,40.09639502908675,129.8500868617305,54778.4555419769,29.816666666666666,88.05570480227097,0.7753272667835894,3.455686666666667,21913.322,15.436897730434582,79.81381988525389,,7.6472000122070325
Switzerland,94.7771038639196,46.7422097437077,126.3972705677895,90653.31974879345,33.68,82.78664840061242,0.8401727194231529,3.2067433333333333,23761.856,18.771671513648982,69.7971789042155,,5.022170066833494
Thailand,77.34928418648308,15.394682152454017,172.02774995556217,7142.129782182244,34.833333333333336,57.82203547159832,0.12652028837162457,1.1481033333333333,15124.297999999999,25.3411599704623,44.3249237154231,92.04666392008464,2.9147110828795966
Turkiye,78.91589473175533,19.53290202077415,98.98344167242244,10355.361399081712,43.63333333333333,88.83231128164432,1.0091843995146539,1.35096,42612.112,3.386738673743885,118.42990620930983,97.0,3.882494020462036
United Arab Emirates,99.59999995630729,34.9384504733713,199.94873818821648,45965.77778494593,26.4,85.27092133485287,2.1350295868878875,1.389385,4670.99,6.414163647847964,56.71399349735001,98.064998626709,3.91280666987101
United Kingdom,94.18930666974946,40.71111083579812,119.37371891091682,45394.551424162695,32.9,82.87345734935796,0.6262915391930096,2.774596666666667,105378.268,24.72526060211715,72.16599019368489,,5.4529324769973755
United States,90.96606513045386,35.86616380999083,106.77204724514716,69776.13936928129,41.15,80.0866538923035,0.5124207190131268,3.3256383333333335,457203.034,19.831678760656516,85.59451293945311,,5.167044997215273
Viet Nam,73.28158467325505,18.224455481494033,138.93935432835852,3728.748578466498,36.199999999999996,36.07790192652022,0.8824640706153287,0.4186733333333333,7772.38,41.90156540913208,37.44370363085748,95.939998626709,3.085891842431846
