city,country,meal_inexpensive_restaurant,meal_2ppl_midrange,mcmeal_fastfood,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi,water_restaurant,milk_1L,bread_500g,rice_1kg,eggs_12,local_cheese_1kg,chicken_1kg,beef_1kg,apples_1kg,banana_1kg,oranges_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1_5L,bottle_wine_midrange,domestic_beer_0_5L_market,imported_beer_0_33L_market,cigarettes_20pk,one_way_ticket_local,monthly_pass_transport,taxi_start,taxi_1km,taxi_1hr_waiting,gasoline_1L,volkswagen_golf,toyota_corolla,utilities_monthly_85m2,mobile_monthly_1min,internet_monthly_60mbps,fitness_club_monthly,tennis_court_1hr,cinema_ticket,preschool_monthly,intl_primary_school_yearly,jeans_levis,summer_dress,nike_running_shoes,mens_leather_shoes,rent_1br_city_center,rent_1br_outside_center,rent_3br_city_center,rent_3br_outside_center,price_per_m2_city_center,price_per_m2_outside_center,avg_net_salary,mortgage_interest_rate
Dubai,United Arab Emirates,12.25,81.68,8.17,12.52,13.34,5.3,1.24,0.63,1.81,1.48,1.9,3.14,9.71,8.22,10.55,2.24,1.82,1.78,1.63,1.08,0.94,1.57,0.61,16.34,3.45,6.32,6.13,1.57,95.29,3.27,0.82,8.17,1.1,27089.57,20992.61,192.01,0.16,97.02,74.01,37.52,12.8,757.06,11083.41,64.43,54.4,85.92,90.06,1793.25,1015.88,3272.26,2005.59,3752.32,2379.01,4322.14,3.96
Vancouver,Canada,18.16,83.38,8.89,5.19,6.67,3.8,1.94,1.77,2.19,2.61,3.44,3.58,12.69,11.52,14.7,3.15,1.43,3.44,3.49,2.69,1.99,2.28,1.92,14.82,2.49,2.95,14.08,2.3,95.24,2.78,1.43,26.9,1.58,22234.49,19160.9,91.93,0.26,62.95,46.24,11.3,12.6,1059.84,20793.42,58.69,37.87,87.35,114.61,1799.96,1502.8,3373.09,2341.43,9983.22,7902.75,3474.89,4.46
Vienna,Austria,15.81,63.22,9.48,4.74,4.32,3.89,3.03,2.36,1.36,2.0,1.94,3.68,11.71,10.9,16.52,2.45,1.83,2.66,3.12,1.74,1.47,1.59,0.7,6.32,1.09,1.49,6.32,2.53,34.77,4.21,1.8,29.29,2.03,24720.86,20472.29,216.55,0.07,34.15,29.72,21.47,12.38,277.74,11933.66,96.7,35.35,93.82,128.03,997.3,695.6,2042.51,1349.94,9318.15,5843.77,2735.42,2.1
Warsaw,Poland,7.89,45.07,6.31,3.16,3.16,2.97,1.36,1.29,0.79,0.99,1.34,2.5,7.48,5.61,10.44,0.88,1.31,1.56,2.27,0.74,0.76,1.01,0.54,6.76,0.98,1.4,4.06,0.99,24.79,1.8,0.68,9.01,1.66,23189.96,22271.23,198.99,0.06,13.45,30.24,16.72,6.76,397.82,11240.84,74.9,33.15,77.09,92.16,793.08,616.06,1466.44,1110.63,4469.94,2872.23,1286.21,8.01
Budapest,Hungary,8.23,38.57,5.66,2.06,2.06,1.85,1.14,0.93,1.08,1.35,1.68,2.78,9.97,4.81,10.09,1.5,1.59,1.98,2.47,1.08,1.08,1.33,0.4,4.63,0.87,1.46,5.14,0.9,24.43,2.57,1.03,15.43,1.55,23581.66,22011.83,154.04,0.08,12.82,44.23,11.33,5.91,361.49,8769.62,69.57,31.89,71.12,87.26,492.44,377.48,886.09,637.0,3407.13,2268.25,974.48,8.13
Abu Dhabi,United Arab Emirates,8.17,54.45,8.17,10.89,10.89,4.83,0.85,0.3,1.71,1.28,1.79,2.69,9.15,7.44,10.96,2.18,1.68,1.68,1.38,1.04,0.95,1.21,0.56,17.02,3.06,3.58,5.99,0.54,21.78,3.27,0.54,8.17,1.07,25319.9,21281.99,148.74,0.15,100.67,63.6,35.02,11.98,617.12,9008.3,51.61,42.39,86.65,85.56,1574.22,1058.28,2527.12,1987.65,3234.7,2842.8,3541.4,4.08
Milan,Italy,21.07,84.3,10.22,6.32,5.27,1.86,2.78,1.32,1.51,2.4,2.76,3.65,14.5,11.1,20.61,2.44,2.08,2.13,2.79,1.53,1.17,1.17,0.49,7.38,1.5,2.05,6.32,2.11,41.1,6.32,2.11,36.88,2.07,25816.76,28783.71,216.3,0.16,29.7,79.05,26.53,10.54,805.81,16660.06,96.07,35.27,102.81,160.11,1335.89,874.97,2766.72,1786.5,9364.19,4741.85,1897.64,1.68
Prague,Czech Republic,8.65,43.26,7.35,2.16,2.38,2.79,1.66,1.25,1.02,1.39,2.25,2.34,11.04,8.53,12.39,1.74,1.57,1.94,3.21,0.92,0.89,1.39,0.65,6.49,0.97,1.69,6.01,1.38,23.79,1.9,1.21,15.57,1.93,25650.18,24575.34,267.29,0.16,22.72,47.45,13.49,8.85,689.59,10580.66,86.55,37.72,91.18,100.94,945.17,704.73,1677.54,1206.79,7798.05,5176.39,1686.36,5.67
Copenhagen,Denmark,19.85,113.4,12.05,7.09,7.05,5.99,3.25,2.67,1.84,2.87,2.54,4.35,11.71,10.44,15.0,2.78,2.52,2.6,3.98,1.76,1.43,1.81,1.15,10.63,1.75,2.26,8.51,3.4,73.71,6.38,2.27,85.05,2.2,39690.41,38304.11,203.32,0.11,37.29,40.68,22.76,17.01,496.13,8249.94,106.09,50.62,115.76,157.61,1765.18,1309.91,2669.65,2014.9,7808.48,5450.68,3670.25,1.69
Stockholm,Sweden,12.59,77.47,8.72,6.78,6.78,3.95,2.29,2.06,1.44,2.79,2.76,3.74,9.59,11.81,18.43,3.01,2.44,2.54,3.94,1.37,1.29,2.26,1.45,10.65,2.0,2.28,6.68,3.78,93.94,4.84,2.76,50.6,2.16,27115.49,26837.42,102.95,0.14,34.07,43.09,34.4,14.53,134.78,8473.59,86.95,39.81,94.14,124.27,1375.6,1019.86,2301.49,1607.85,11124.31,6758.16,3021.18,2.51
Amsterdam,Netherlands,19.49,84.3,10.54,5.99,5.27,3.58,2.72,2.51,1.25,1.65,2.1,3.75,13.9,10.12,20.98,2.49,1.81,1.91,3.17,1.86,1.19,1.05,1.05,7.11,1.58,1.98,8.64,3.37,104.85,5.27,2.6,48.47,2.25,28440.58,31264.62,281.94,0.11,49.7,42.77,29.97,14.23,1853.84,14608.2,89.57,40.24,100.76,136.69,1799.7,1544.37,3034.43,2242.46,9815.34,6524.16,3655.44,3.04
Helsinki,Finland,13.7,84.3,9.72,7.38,8.43,4.31,2.71,1.77,1.05,2.35,2.32,2.51,7.66,10.98,18.34,2.43,1.77,2.3,3.7,1.17,1.49,1.96,1.71,12.64,2.7,3.16,10.06,2.95,68.49,7.27,1.37,56.27,2.35,31612.36,32816.64,108.82,0.08,22.85,38.9,38.02,15.81,399.76,5479.48,95.97,41.03,81.14,135.14,1044.71,842.09,2115.81,1461.38,8746.09,4814.3,2874.65,1.23
Oslo,Norway,20.55,112.0,12.33,10.12,9.92,4.65,3.23,2.97,2.12,3.54,3.31,4.14,12.29,14.16,27.69,2.98,2.21,2.95,3.85,2.21,2.65,2.5,2.31,17.47,3.38,4.25,14.9,4.01,83.64,10.63,1.64,51.38,2.22,35962.76,34816.07,244.58,0.16,50.07,46.68,35.4,16.39,339.32,9748.48,93.19,42.6,103.58,129.07,1436.01,1174.52,2334.05,1863.35,9925.38,7484.46,3645.72,2.78
Lisbon,Portugal,12.64,52.69,7.38,2.63,3.16,1.97,1.73,1.2,0.88,1.33,1.28,2.67,8.98,6.94,10.89,1.95,1.3,1.51,2.03,1.22,1.24,1.25,0.81,4.21,1.28,2.07,5.58,1.95,42.15,3.69,0.53,15.7,2.12,29504.87,31189.24,130.77,0.19,35.58,39.89,11.94,7.9,436.52,10185.33,80.35,32.14,72.44,96.4,1242.34,813.4,2149.25,1329.07,5757.09,3206.32,1125.31,2.42
Zurich,Switzerland,26.71,128.21,16.03,7.48,7.48,5.6,4.65,4.42,1.78,3.17,3.4,6.04,27.2,28.52,51.87,3.91,2.92,3.23,4.55,2.55,2.39,2.4,1.39,13.89,2.09,2.83,9.4,4.7,96.16,6.94,5.34,85.48,2.25,33282.23,32763.39,250.12,0.3,52.59,89.98,40.42,21.37,2935.69,32131.21,99.62,49.97,114.84,181.22,2072.52,1618.11,3958.91,2925.48,19152.85,10938.32,6782.99,1.44
London,Canada,16.68,74.11,9.63,4.45,4.45,3.4,1.85,1.4,1.7,2.21,2.73,2.69,10.85,7.99,12.81,3.28,1.12,3.01,4.0,1.78,1.8,1.97,1.36,11.12,2.39,2.96,10.67,2.22,70.41,2.87,1.48,18.53,1.39,22234.49,18462.91,129.73,0.25,59.7,29.12,26.68,11.11,963.49,17726.87,68.6,37.39,79.77,90.61,1348.08,1067.55,2559.89,1581.36,7101.66,3464.88,3446.3,4.53
Lagos,Portugal,8.43,63.22,7.38,2.63,2.63,1.8,1.79,1.44,1.21,1.24,1.55,2.28,7.34,5.35,10.27,2.17,1.56,1.84,1.53,1.16,1.34,1.18,1.45,3.16,0.97,3.33,5.69,1.69,42.15,3.16,0.98,21.07,2.41,26343.63,26343.63,101.86,0.13,42.15,56.48,13.7,6.33,386.37,8008.46,67.97,27.66,67.18,61.12,882.51,716.55,1650.87,1219.15,3517.33,3450.68,923.29,3.33
